Alimento,Cantidad_sugerida,Unidad,Peso_bruto,Peso_neto,Energia,Proteina,Lipidos,Carbohidratos,Fibra,Vitamina_A,Acido_Ascorbico,Acido_Folico,Hierro,Potasio,Calcio,Selenio,Fosforo,Sodio,Colesterol,AG_saturados,AG_monoinsaturados,AG_poliinsaturados,Azucar,IG,CG,Grupo
Mango criollo,1 1/2,pieza,300,162,57,1.3,0,14.6,1.8,388.8,129.6,0,2.1,306.2,0,0,0,0,0,0,0,0,0,51,7.446,Frutas
Melón, 1/3,pieza,271,179,61,1.5,0.3,14.6,1.6,225.6,64.5,30.4,0.4,553.4,0,0,0,0,0,0,0,0,14.1,65,9.49,Frutas
Toronja,1,pieza,246,162,54,0.9,0.2,13.7,1.8,4.9,86.1,16.2,0.2,225.7,0,0,0,0,0,0,0,0,11.9,25,3.425,Frutas
Naranja,2,pieza,242,152,72,1.4,0.2,18,3.7,18.3,80.8,45.7,0.2,276,0,0,0,0,0,0,0,0,14.3,42,7.56,Frutas
Elote blanco cocido,1 1/2,pieza,215,82,70,2.6,1,15.5,2.2,0,0,37.5,0.4,0,1.6,0,0,12.2,0,0,0,0,2.6,59,9.145,Cereales sin grasa
Mango manila,1,pieza,207,145,62,1.2,0,16.1,1.6,486.9,110.1,0,1.2,273.9,0,0,0,0,0,0,0,0,0,51,8.211,Frutas
Mango petacón, 1/2,pieza,200,110,72,0.6,0.3,12.9,1.2,150.7,30.8,0,0.1,171.6,0,0,0,0,0,0,0,0,0,51,6.579,Frutas
Ciruela criolla,3,pieza,198,158,73,1.1,0.4,18.1,2.2,50.4,14.4,2.4,0.2,273.6,0,0,0,0,0,0,0,0,0,39,7.059,Frutas
Lichis,12,pieza,180,90,59,0.7,0.3,14.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,79,11.771,Frutas
Durazno amarillo,2,pieza,174,153,60,1.4,0.2,14.6,2.3,82.7,10.6,5.3,0.2,301,0,0,0,0,0,0,0,0,12.8,42,6.132,Frutas
Elote amarillo cocido,1 1/2,pieza,174,66,71,2.2,0.8,16.6,1.9,0,0,30.4,0.3,0,1.6,0,0,0,0,0,0,0,2.7,53,8.798,Cereales sin grasa
Durazno prisco,3,pieza,150,132,51,1.2,0.1,12.5,2,46.2,13.2,0,0.4,266.6,0,0,0,0,0,0,0,0,11.1,42,5.25,Frutas
Chabacano,4,pieza,140,126,61,1.8,0.5,14,2.5,329.3,13.1,10.7,0.7,373.2,0,0,0,0,0,0,0,0,11.6,57,7.98,Frutas
Manzana,1,pieza,138,106,55,0.3,0.2,14.7,2.6,5.4,6.2,3.1,0.2,122.4,0,0,0,0,0,0,0,0,11,38,5.586,Frutas
Cereza,20,pieza,136,88,56,0.9,0.2,14.7,2.1,18.2,6.5,3.9,0.4,197.6,0,0,0,0,0,0,0,0,11.3,22,3.234,Frutas
Kiwi,1 1/2,pieza,132,114,69,1.2,0.6,16.6,3.4,20.9,110.5,43.3,0.5,376.4,0,0,0,0,0,0,0,0,10.2,53,8.798,Frutas
Ostión cultivado,9,pieza,126,126,75,6.6,2,6.9,0,10.5,0,0,7.3,0,55.5,80.3,0,225,31.5,0,0,0,0,0,0,AOABG
Uva,18,pieza,126,86,61,0.6,0.5,15.3,1.1,1.7,9.4,3.4,0.2,158.5,0,0,0,0,0,0,0,0,0,43,6.579,Frutas
Alcachofa mediana cocida,1,pieza,120,48,25,1.4,0.2,5.7,4.1,0.5,3.6,42.7,0.3,137.3,0,0,0,0,0,0,0,0,0,20,1.14,Verduras
Calabacita alargada cruda,1,pieza,111,91,21,1.6,0.1,3.4,1.4,12.3,11.8,23.7,0.5,183.9,0,0,0,0,0,0,0,0,0,15,0.51,Verduras
Chayote crudo, 1/2,pieza,102,100,19,0.8,0.1,4.5,1.7,0,7.7,93.5,0.3,125.6,0,0,0,0,0,0,0,0,0,50,2.25,Verduras
Aguacate florida, 1/3,pieza,101,54,60,0.8,4.8,4.8,0,0,0,0,0,0,0,0,0,2.6,0,0.9,2.6,0.8,0,0,0,Aceites y grasas
